ID,PT2011,PT2012,PT2013,PT2014,PT2015,PT2016,PT2017,PT2018,PT2019,PT2020,PT2021,PT2022,Diccionario!A1
78242127,276244,295361,304674,302499,306143,295796,315899,400004,472321,559827,921332,942353,
78819787,3109534,3756739,3583232,962863,1957857,2662242,1355653,303003,333443,561082,592699,1165022,
78820074,2094838,2439421,3292096,3777441,5342583,10302672,11607107,11993672,12628059,13264425,13993173,14033547,
78821278,4511849,11265220,11428337,9768108,15600768,17987208,17427140,16500244,17128569,17011752,36064836,45249391,
79038775,33335985,41459792,48998208,52076202,51209106,52305214,57701171,62300263,64741876,77271932,104993464,80697552,
79040763,"1464233,886","1504908,781","1746106,708",3185964,4475808,4794962,5389516,6162582,6936416,"8156808,092","9144123,36",31947710,
79041953,0,0,78880794,59722495,46524177,50424828,57334687,49719038,39044861,0,17212049,14802419,
79042226,4340996,4327143,4364717,4365291,4378874,5801688,5220545,5117605,5119687,5191482,5830461,6596332,
79045348,5272502,5237132,5486600,5697487,6076639,11911293,11785216,11698622,12383188,12548265,12989676,13673132,
79101174,36845207,37315838,41793895,46241084,50824916,50965445,58727453,65737979,58587905,62434337,64716968,67366521,
79103849,6468011,0,0,0,0,11868654,11421454,37370878,36389637,38253581,37732835,34971945,
79107151,382241,740852,802297,812074,823332,272246,583356,643302,737960,0,2193224,0,
79107391,3111617,3225553,3241794,3579374,3966184,4441388,5087236,5826461,6811453,7619397,9130720,10562879,
79107880,1866257,1953572,2421746,2699059,2577756,0,3562521,3808069,4102179,0,3620342,2213708,
79108710,5213428,5287868,5605869,5638000,5710877,8365863,7889098,8130497,8745892,8888966,9843340,12183059,
79109298,6026481,6554252,"7098176,347","6335232,116",7748455,8189221,9223064,9993243,12431096,13996816,7470231,7574623,
79109382,8026111,9353657,10503286,9123120,10511996,13721064,14933201,17961524,21571146,27036489,30218617,32872586,
79109791,735343,829235,967706,1115831,1370628,1479370,2028466,2206295,2568963,"2964908,052",3103743,4269161,
79110886,3669696,6052118,6661162,6980871,7775674,8948354,9089736,16033875,16585177,25770265,30166387,34835307,
79111255,"5045232,02","5773236,506","6186276,105",6576232,6988559,7908010,8043028,8833836,9525408,"23048874,317",23615900,24825216,
79113123,617511,804314,471106,494951,661727,994433,1480457,1490987,1640021,2040899,2633872,2251767,
79114025,205294077,197616263,202624932,296226959,261206635,257258981,287553448,288935056,306500723,311747372,311438701,297304679,
79114762,3501662,3957476,4392035,5101430,4567666,4527583,4805125,4658403,4028800,4090686,4546872,5702828,
79116348,1180770,1457945,1602096,1800517,2253097,3602683,4725666,5984037,7516133,9117524,10041762,9678890,
79118078,3134815,3467561,3997057,4910312,6319131,5859968,7928119,9001503,9539078,10814918,12734548,15171214,
79118187,1596168,1029586,1346549,1727675,2150477,2370765,3246864,3415377,4857788,6603412,7321311,7343428,
79118595,1764383,"1892044,665",2077244,2689880,0,"3373667,88","3892885,23","4270603,621",5548763,4271441,3911645,3916882,
79120084,448691,433077,"649508,847",744127,807541,982978,1199855,1354171,1859181,2383127,2849329,3035469,
79122242,3295186,3476259,3524742,3442124,3737127,4082304,3041541,3545327,3952250,3334517,3572286,3485124,
79122899,1319664,2103198,2217589,1921666,2017145,2035675,2621725,3610809,4170237,4603442,5266770,5374010,
79126373,1627484,1737269,2095557,2322390,3130121,3466062,3590835,3578404,3976489,4209719,4603762,4119746,
79131127,1965203,1928230,2148654,2176310,2201514,2168905,2548721,2778129,2826673,3329793,4339821,5246350,
79133792,0,3309043,0,0,0,9117995,9007926,7999234,6945538,6890056,0,8107619,
79136846,-652429,7182039,14063935,16841789,0,0,18629043,17239399,17314995,17291091,17056307,0,
79140739,0,0,0,"7782683,205",8260246,8430212,8460284,8578544,8702355,"12337623,003",13156824,13862529,
79142381,"2430326,123",0,3303689,3909004,4241398,4712527,5164822,5683666,4238729,3552111,3339462,5097711,
